epoch,accuracy,loss,val_accuracy,val_loss
0,0.35649046,1.3337105708936559,0.4121037423610687,1.2945050805034142
1,0.6307778,1.0135732112483835,0.651296854019165,0.9840816077306566
2,0.78300583,0.6089328887338556,0.680115282535553,0.8067239177673625
3,0.8408525,0.435380457429519,0.6743515729904175,0.8075920532347489
4,0.8757265,0.3436746166216314,0.6858789920806885,0.8218083790468551
5,0.9006366,0.28045794600814195,0.6599423885345459,0.8908892375247967
6,0.9208414,0.23780208849161244,0.6541786789894104,0.9536840063694231
7,0.9366178,0.19610333255031517,0.6541786789894104,1.0170879310764565
8,0.9468586,0.16584379477758932,0.6714697480201721,1.079355509205579
9,0.9565458,0.14475025112464623,0.6541786789894104,1.1175220742692864
10,0.9609743,0.128273476582302,0.6772334575653076,1.1676761104325397
11,0.9651259,0.11616395131359791,0.6570605039596558,1.213060663138068
12,0.9681705,0.1080191236142963,0.6657060384750366,1.232049165782049
13,0.9690008,0.10017093135533225,0.6916426420211792,1.2961216994939688
14,0.9703847,0.09403115636319821,0.6714697480201721,1.3731000859730524
15,0.96983117,0.09084869649002435,0.6455331444740295,1.3505405039883485
16,0.97232217,0.0866066378229647,0.6570605039596558,1.4670457953334886
17,0.97259897,0.08380903009971753,0.6829971075057983,1.4627959704192983
18,0.97481316,0.07545464544036598,0.6657060384750366,1.4880239826114445
19,0.9739828,0.07156260963452017,0.639769434928894,1.5840715042795845
20,0.9756435,0.07285978790777824,0.6570605039596558,1.619571705372945
21,0.97619706,0.06476669199094527,0.651296854019165,1.6458926891387369
22,0.97619706,0.06716242521885786,0.6714697480201721,1.6608749294830674
23,0.9767506,0.0626984566281022,0.651296854019165,1.6424068473601547
24,0.97730416,0.06239643365705637,0.6628242135047913,1.6893746983420952
